anchor.ogg　    アンカー生成音
cancel.ogg    　キャンセル音
capture.ogg   　エリア制圧完了時に鳴らす音
count.ogg　　　 ゲーム開始時（3,2,1,GO）の時に鳴らす
damage.ogg      プレイヤーに射撃が当たった時の音　
decision.ogg  　決定音
disable.ogg　   流れ無効化機能オフ
enable.ogg　    流れ無効化機能オン
hit.ogg　　　 　射撃着弾音
HowTo.ogg       How to play画面で流すBGM（ループあり）
KO.ogg　　　　　プレイヤーがやられた時（体力０の時）に鳴らす音
lock.ogg　　　　ロック音（切り替え時も鳴らす）
m_anchor.ogg　　アンカー生成ができない時に鳴らす音
nowCap.ogg　　　エリア制圧中に流す音
result.ogg　　　敗北時、リザルト画面で流すBGM（ループあり）
result_win.ogg　勝利時、リザルト画面で流すBGM（ループあり）
ride.ogg　　　  流れに乗る音
select.ogg　　  選択音
shot.ogg　　　  射撃音
title.ogg　　   タイトル画面のBGM（ループあり）
Vo_A.ogg　　　  ハナの歌声
Vo_B.ogg　　　  トオルの歌声
Vo_C.ogg　　　  ２人同時に歌う声
